k,mode,experiment,n_cycles,best_R2_model,best_R2,best_R2_MAE,best_MAE_model,best_MAE,best_MAE_R2
3,cross,hust_to_matr,100,elastic_net,-0.6905597545638011,334.9265904811249,elastic_net,334.9265904811249,-0.6905597545638011
3,cross,matr_to_hust,100,gaussian_process,-8.131726174469515,781.535999737627,elastic_net,741.1091273828413,-8.615728544643924
6,cross,hust_to_matr,100,elastic_net,-1.9117679654064397,325.8926677450769,elastic_net,325.8926677450769,-1.9117679654064397
6,cross,matr_to_hust,100,catboost,-7.971465863832501,757.6558116348544,random_forest,754.301400343296,-8.042842969926557
10,cross,hust_to_matr,100,catboost,-2.932478300960874,663.0509929943412,catboost,663.0509929943412,-2.932478300960874
10,cross,matr_to_hust,100,gaussian_process,-7.948442057076699,771.5144033077956,gaussian_process,771.5144033077956,-7.948442057076699
12,cross,hust_to_matr,100,elastic_net,-1.6905499348124569,347.6961608802069,elastic_net,347.6961608802069,-1.6905499348124569
12,cross,matr_to_hust,100,gaussian_process,-8.000472039704281,774.1416773009099,gaussian_process,774.1416773009099,-8.000472039704281
