k,mode,experiment,n_cycles,best_R2_model,best_R2,best_R2_MAE,best_MAE_model,best_MAE,best_MAE_R2
3,within,hust_to_hust,100,random_forest,0.3935263705437987,173.98791277921504,random_forest,173.98791277921504,0.3935263705437987
3,within,matr_to_matr,100,elastic_net,0.3156581971544508,217.72996069210097,catboost,216.67442704648863,0.281423944479205
6,within,hust_to_hust,100,random_forest,0.3228866838839747,180.8635116100945,random_forest,180.8635116100945,0.3228866838839747
6,within,matr_to_matr,100,random_forest,0.462414934047935,187.1797092830796,random_forest,187.1797092830796,0.462414934047935
10,within,hust_to_hust,100,random_forest,0.3156187506635454,183.5716498761867,random_forest,183.5716498761867,0.3156187506635454
10,within,matr_to_matr,100,random_forest,0.4827301595246219,187.40171726863312,random_forest,187.40171726863312,0.4827301595246219
12,within,hust_to_hust,100,random_forest,0.3268554019292754,181.09452447812563,random_forest,181.09452447812563,0.3268554019292754
12,within,matr_to_matr,100,catboost,0.5175930433352826,179.11044037249468,catboost,179.11044037249468,0.5175930433352826
