scenario,experiment,source,target,calibration_domain,n_cycles,confidence_level,coverage_mean,coverage_std,mean_width_mean,median_width_mean,MAE_mean,SMAPE_mean,R2_mean,q_hat_mean,finite_q_mean,n_runs,n_train_mean,n_calibration_mean,n_test_mean
cross_coral_source_calibrated_cp,hust_to_matr,hust,matr,hust,100,0.9,0.5255813953488373,0.26827753944522265,1010.6750244140625,1010.675048828125,491.742309239114,54.34622253015897,-1.5138417400421653,505.3375244140625,1.0,5,53.0,12.0,129.0
cross_coral_source_calibrated_cp,hust_to_matr,hust,matr,hust,100,0.95,1.0,0.0,inf,inf,491.742309239114,54.34622253015897,-1.5138417400421653,inf,0.0,5,53.0,12.0,129.0
cross_coral_source_calibrated_cp,matr_to_hust,matr,hust,matr,100,0.9,0.2961038961038961,0.1648890415387416,1232.8196533203125,1232.81962890625,811.5237102558087,74.76855096807299,-9.412145641132021,616.409814453125,1.0,5,89.0,20.0,77.0
cross_coral_source_calibrated_cp,matr_to_hust,matr,hust,matr,100,0.95,0.4701298701298701,0.33457630736171223,1778.7333984375,1778.73330078125,811.5237102558087,74.76855096807299,-9.412145641132021,889.366650390625,1.0,5,89.0,20.0,77.0
