dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,elastic_net,100,843.5401395870989,14.251494344194306,782.7158104329202,906.1032569897616,77.9800045129726,2.3359789670927475,73.81091144831431,82.18287871270236,-9.46666961982868,0.35330092713924705,-13.212670670412663,-7.249917232218463,5
hust,matr_to_hust,pls,100,846.658799747575,9.472457867115466,784.9986070154202,910.1374293817895,78.66429555912578,1.3855273069554779,74.26291342530052,83.08990839139841,-9.581673063126386,0.22720573898470028,-13.299813088641812,-7.337134684027393,5
hust,matr_to_hust,random_forest,100,903.1264181367866,11.808135421406481,838.4461987003837,967.8656799432808,86.02994243282282,1.6945164197366376,81.57467211479522,90.43452569855323,-10.92794101259706,0.27382015245125296,-15.174353177529543,-8.338312856482908,5
hust,matr_to_hust,xgboost,100,916.1355351435674,38.222280975633424,849.9284836469378,983.0176129665622,88.7325136644933,6.079772522345243,83.70471722466189,93.5968162880127,-11.348859612206809,0.9369941134682497,-15.83599858021345,-8.622182215959828,5
hust,matr_to_hust,catboost,100,914.4451595021213,11.678846090012714,853.0304908191771,976.26398081197,87.4524978854395,1.6116460060101052,83.3751473406533,91.47461390616377,-11.127248256550274,0.28832426483098256,-15.478075628709632,-8.493623613707623,5
hust,matr_to_hust,gaussian_process,100,813.0670163924946,39.42390386572016,752.3617660330549,874.180899291121,73.65045295522785,5.664259888812011,69.56266335661425,77.68534975505295,-8.814487772814767,0.8800264476306524,-12.354653857657189,-6.702716410616233,5
hust,matr_to_hust,stacking,100,831.9238475777013,49.98731172110509,770.3700452100433,894.0190471618826,75.72893321731148,6.64040531262859,71.85435806256496,79.52304348691943,-9.246942296728408,1.0978742427999664,-12.973618635378468,-6.985584738679624,5
matr,hust_to_matr,elastic_net,100,709.6078992049536,23.62853967599741,641.6554511380756,780.619527292543,69.14497584936254,1.323720810702363,62.680721911694185,75.69989894036507,-4.0961216052199285,0.2596001884892852,-6.795492134229519,-2.565236817761018,5
matr,hust_to_matr,pls,100,744.9692320640328,32.5837915161602,682.9277489929557,808.7047525443971,71.33874072082725,0.7529951340873093,65.07723681044635,77.50864561451296,-4.298634064234044,0.05658270425351096,-7.034595350457437,-2.7213554230653925,5
matr,hust_to_matr,random_forest,100,779.9461876408416,6.182024812571929,727.6607250538281,830.3032769770552,72.57359107759619,0.323141633566395,66.68656438391545,78.35747950314996,-4.379286779462655,0.08066982428046941,-7.086610506704586,-2.87082873494879,5
matr,hust_to_matr,xgboost,100,769.217442428234,19.09068955535525,717.3953212128869,819.1118878008228,71.99052160075189,1.069100966152416,66.1404298287014,77.68230874776398,-4.2420552070105,0.2403979565123361,-6.880705518847213,-2.7874534114975984,5
matr,hust_to_matr,catboost,100,789.5394697689386,22.37331017666844,737.3892530657712,840.0043878761138,73.10707279967095,1.2595805812596659,67.17827493051479,78.91832262417624,-4.500215019473413,0.2698182179109225,-7.269301089268263,-2.9771866972635213,5
matr,hust_to_matr,gaussian_process,100,723.2099420838201,8.27979787769022,674.1097389019294,770.6741520502433,69.56365327043753,0.466262083701708,63.73664127096113,75.38571169950008,-3.6381311961204483,0.10122325151526648,-5.940261682679565,-2.364020278593596,5
matr,hust_to_matr,stacking,100,725.7020393531743,19.02861140158115,674.9049553071635,773.6156670606927,69.62266001879297,1.1291088514795131,63.79256870723473,75.38393464758694,-3.6853695197881935,0.22177890006634712,-6.022058859282035,-2.4014358538985277,5
