feature_set,experiment,best_R2_model,best_R2,best_R2_MAE,best_MAE_model,best_MAE,best_MAE_R2
12 features,hust_to_matr,random_forest,-1.724726590070326,542.780829719241,random_forest,542.780829719241,-1.724726590070326
24 features,hust_to_matr,random_forest,-1.8043483909457152,552.0172913730056,random_forest,552.0172913730056,-1.8043483909457152
34 features,hust_to_matr,gaussian_process,-2.0517020852331807,569.2231597354358,gaussian_process,569.2231597354358,-2.0517020852331807
least-fragile 6,hust_to_matr,gaussian_process,-3.638131196120448,723.2099420838201,elastic_net,709.6078992049536,-4.0961216052199285
12 features,matr_to_hust,gaussian_process,-8.831751216654867,812.6286039227108,gaussian_process,812.6286039227108,-8.831751216654867
24 features,matr_to_hust,gaussian_process,-8.134728888714015,781.7414261463931,gaussian_process,781.7414261463931,-8.134728888714015
34 features,matr_to_hust,gaussian_process,-8.124868615735833,781.1531784627326,gaussian_process,781.1531784627326,-8.124868615735833
least-fragile 6,matr_to_hust,gaussian_process,-8.814487772814767,813.0670163924946,gaussian_process,813.0670163924946,-8.814487772814767
