experiment,n_cycles,method,adapter,k_target,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,residual_shift_mean,n_runs,n_train_mean,n_target_mean,n_eval_mean
hust_to_matr,100,coral_mlp,none,0,491.742309239114,106.1483937797928,54.34622253015897,6.878783623984197,-1.5138417400421653,0.7806252111623555,0.0,5,53.0,129.0,129.0
hust_to_matr,100,source_mlp,none,0,386.5211853500485,49.48085322816771,47.061666316348656,4.446951736840886,-2.1522572154512156,1.2355394106423085,0.0,5,53.0,129.0,129.0
hust_to_matr,100,mmd_mlp,none,0,741.6555260177731,40.49084836375489,67.36520842585244,2.4454243239540547,-5.123814622431145,0.9215086393743107,0.0,5,53.0,129.0,129.0
hust_to_matr,100,coral_mlp,residual_mean,5,328.9005948023642,55.88237846694247,42.35423727036984,6.153829465815797,-0.373917698810162,0.5117172282912225,-345.3225214233399,100,53.0,129.0,124.0
hust_to_matr,100,mmd_mlp,residual_mean,5,399.4839834742392,110.86135264061713,53.494932624636505,24.370819646743456,-1.6958081998197185,1.2047658399059678,-713.6032384033202,100,53.0,129.0,124.0
hust_to_matr,100,source_mlp,residual_mean,5,426.43337746620176,170.51450495616953,53.90672692655219,34.73478018782537,-2.5979852892278292,2.212000607659319,89.94193314361571,100,53.0,129.0,124.0
hust_to_matr,100,coral_mlp,residual_mean,10,313.75301161693926,33.22547878706962,40.17868003348158,3.6949242398031834,-0.24551396903616113,0.24760584933509056,-338.66718890380855,100,53.0,129.0,119.0
hust_to_matr,100,mmd_mlp,residual_mean,10,374.39771268828576,45.227094832168156,49.105240915411315,9.562552790645276,-1.4726909291317434,0.639743297615936,-707.7519679603578,100,53.0,129.0,119.0
hust_to_matr,100,source_mlp,residual_mean,10,396.72234833516995,97.93786645418763,49.86316476479652,22.952033407163956,-2.2281502441426024,1.453251147846754,88.73489708709717,100,53.0,129.0,119.0
hust_to_matr,100,coral_mlp,residual_mean,20,307.1718125047596,27.681638282422025,39.271747031562455,3.5208563371129773,-0.194319271105748,0.19113305851204151,-336.40976892089844,100,53.0,129.0,109.0
hust_to_matr,100,mmd_mlp,residual_mean,20,359.1830125189265,30.627806671051893,46.4467974713366,5.567295527899252,-1.372673390797432,0.6511357550156847,-701.3046687812805,100,53.0,129.0,109.0
hust_to_matr,100,source_mlp,residual_mean,20,379.34801114318566,74.0314116896179,45.341891459356695,13.580745068829803,-2.1495993451997806,1.3461097504142219,100.92567509841919,100,53.0,129.0,109.0
matr_to_hust,100,mmd_mlp,none,0,758.150867650416,21.52068878922837,69.11293410539011,2.4742790317796395,-8.532487923655749,0.470465745952416,0.0,5,89.0,77.0,77.0
matr_to_hust,100,coral_mlp,none,0,811.5237102558087,95.7279243197546,74.76855096807299,11.068496998891462,-9.412145641132021,1.900344406593636,0.0,5,89.0,77.0,77.0
matr_to_hust,100,source_mlp,none,0,1097.4920213971818,865.8398616977552,66.44730533950352,27.16995151197119,-27.984009596151036,44.2906514942429,0.0,5,89.0,77.0,77.0
matr_to_hust,100,coral_mlp,residual_mean,5,325.25840746561687,53.658806833374086,22.11750271375346,4.307946871565054,-1.1723515438176333,0.8447011467135097,790.8771025390624,100,89.0,77.0,72.0
matr_to_hust,100,mmd_mlp,residual_mean,5,358.9237552812364,40.22426450729479,24.51675071695764,3.638533549225774,-1.4955937212966568,0.6134638298734602,746.4157861938476,100,89.0,77.0,72.0
matr_to_hust,100,source_mlp,residual_mean,5,746.0038636525471,366.76955927525347,53.38049528018301,28.964717701780188,-11.336307416855101,11.016044872503622,-248.3342450866699,100,89.0,77.0,72.0
matr_to_hust,100,coral_mlp,residual_mean,10,307.6421844573519,35.073406771142366,20.663345864588855,2.2680668208424715,-0.9481711433221734,0.5323609975947856,823.3948782958984,100,89.0,77.0,67.0
matr_to_hust,100,mmd_mlp,residual_mean,10,340.8421301907212,27.03528141385812,22.981596903341355,2.070532953338477,-1.2562830294791698,0.4504969803172359,773.871415222168,100,89.0,77.0,67.0
matr_to_hust,100,source_mlp,residual_mean,10,715.1324499272589,331.0351230809738,52.9362290385305,29.297132316753427,-9.35290539699631,7.918123523260154,-250.43450050354005,100,89.0,77.0,67.0
matr_to_hust,100,coral_mlp,residual_mean,20,305.73466885750753,37.78424013412592,20.59883992875231,2.4341071840041772,-0.892322815694243,0.5350300478166493,804.0032443847656,100,89.0,77.0,57.0
matr_to_hust,100,mmd_mlp,residual_mean,20,338.30809502852594,23.378681492965896,22.974758804283912,1.7206230317214117,-1.152515815553874,0.3511731510827671,750.1764755706787,100,89.0,77.0,57.0
matr_to_hust,100,source_mlp,residual_mean,20,713.3577595841257,336.3750866704386,52.748701041042914,29.793119539774167,-8.980866964711996,7.670448400536856,-242.4553148956299,100,89.0,77.0,57.0
