model,n_cycles,smape
catboost,25,15.357600196661735
catboost,50,14.248133213781614
catboost,100,13.078038832869968
elastic_net,25,22.95850349973882
elastic_net,50,23.198804437279072
elastic_net,100,23.458444146977797
random_forest,25,17.561320900768123
random_forest,50,16.460999416849138
random_forest,100,15.90104791379001
xgboost,25,18.7835900805379
xgboost,50,16.126814691944123
xgboost,100,15.012653960004048
