model,n_cycles,mape
catboost,25,15.885478393245041
catboost,50,14.84729951237639
catboost,100,13.295662126941803
elastic_net,25,23.83761328095774
elastic_net,50,24.168799408538327
elastic_net,100,24.498924669934077
random_forest,25,18.756552795796388
random_forest,50,17.54443518070874
random_forest,100,16.73000819459814
xgboost,25,20.280156889754544
xgboost,50,17.53435498427157
xgboost,100,15.791529836551382
