feature_variant,n_cycles,param_depth,param_learning_rate,param_iterations,param_l2_leaf_reg,cv_MAE_mean,cv_R2_mean,cv_MAPE_mean,cv_SMAPE_mean,cv_MAE_std,cv_R2_std,cv_MAPE_std,cv_SMAPE_std,test_MAE,test_R2,test_MAPE,test_SMAPE
with_qd_std,25,4,0.05,400,5.0,122.31585150935454,0.5962951652708736,17.694753449398647,16.79498168537721,11.609508210222936,0.0836679648530461,2.3538503907866573,1.734822916761385,109.50365713159508,0.6777502059123293,15.996363214377038,15.467114631007059
with_qd_std,50,4,0.05,400,5.0,107.20014962703844,0.6545712072117515,15.236602391109653,14.586709329553553,16.283887157440322,0.10457148506762862,2.5439063484397884,2.1849894408219894,116.01451247730402,0.6985502476713241,17.17368393412938,16.61382326705894
with_qd_std,100,4,0.03,400,3.0,92.9039858168305,0.7403043711818,13.582563580756737,12.927186282026005,12.318808164354909,0.036511448122198066,2.5974327653849536,1.8842190754030528,96.97093639275126,0.7676625064236804,13.18770438692329,13.448120097764821
without_qd_std,25,6,0.05,600,5.0,120.25972599039055,0.562623537689132,16.895436746302465,16.217050817183836,18.177414802385158,0.16652042728687544,1.6837555217872615,1.36810417626686,108.53320704519788,0.6908978530113395,15.028017282478611,14.80387996594979
without_qd_std,50,6,0.05,600,5.0,113.70195448066984,0.6007660085844149,16.113923942646828,15.379943581387034,19.121406009105126,0.20607662885590688,3.0206717576467166,2.2744722948096827,107.299601021297,0.6966815655462568,14.9832597577741,14.923410719567256
without_qd_std,100,6,0.05,600,5.0,90.73682266059025,0.7517522578824269,12.971443192542868,12.515408764608017,10.059543870713414,0.08154310845467996,1.8726847079943267,1.4132582406989123,105.07542098622051,0.7037164179740925,13.779245103918761,14.074132207870829
